sequence,sigma_c,best_normalization,scaling_cv,length,type
Normal_3,0.9930628804423721,range,0.33091122153491154,50,Normal
Uniform_3,0.28226870218716904,range,0.4860910062851435,50,Uniform
Exponential_3,0.5538338922422508,range,0.5396858528181605,50,Exponential
Poisson_3,1.8847570893317993,range,0.4189186689798047,50,Poisson
Normal_4,0.6019555218689107,range,0.5653643335430454,50,Normal
Uniform_4,0.3777091264648507,range,0.4731651848804937,50,Uniform
Exponential_4,0.43736308757866516,range,0.3857816592521065,50,Exponential
Poisson_4,1.1727628561751604,range,0.37789893234134186,50,Poisson
Squares,191.9739806662618,range,0.4238738080327799,30,Squares
Cubes,1570.5166795845016,range,0.3422457107038179,20,Cubes
Triangular,77.6345319905257,range,0.5960932356804991,30,Triangular
Pentagonal,128.37182431457387,range,0.43031392948064295,20,Pentagonal
Catalan,185326267.14113918,range,0.40179167433945956,20,Catalan
Factorial,352947.3522905361,range,0.3161754288652169,10,Factorial
Lucas,155106.36474735566,range,0.2930086901640997,30,Lucas
Pell,119049941.4092431,range,0.4218237503574463,25,Pell
Tribonacci,45057.190813684836,range,0.4224411502668411,25,Tribonacci
Padovan,150.24120935077354,range,0.41212754900207127,30,Padovan
